Sample,OD
LM0094,3.59883333333333
LM0041,0.823166666666667
LM0078,1.074
LM0071,1.44116666666667
LM0095,1.5755
LM0026,0.226166666666667
LM0085,1.039
LM0059,1.1095
LM0028,1.75783333333333
LM0073,0.9015
LM0025,1.9025
LM0079,3.79416666666667
LM0077,0.644
LM0048,0.231666666666667
LM0055,0.2975
LM0084,1.56616666666667
LM0027,0.043333333333333
LM0069,0.672333333333333
LM0049,0.231666666666667
LM0072,0.6855
LM0081,0.044666666666667
LM0030,0.078
LM0076,0.038333333333333
LM0064,1.8595
LM0051,0.042833333333333
LM0088,0.167666666666667
LM0024,3.96516666666667
LM0033,3.04566666666667
LM0093,3.075
LM0090,0.075166666666667
LM0075,2.81716666666667
LM0047,0.042166666666667
LM0082,3.323
LM0042,1.65733333333333
LM0061,3.9825
LM0035,3.6325
LM0043,3.3395
LM0080,2.49383333333333
LM0083,3.88716666666667
LM0053,0.762666666666667
