OD,Conc
1.124,500
1.172,500
1.131,500
1.19,500
1.122,500
1.19,500
0.592,250
0.596,250
0.589,250
0.593,250
0.589,250
0.597,250
0.302,125
0.316,125
0.301,125
0.318,125
0.3,125
0.316,125
0.153,62.5
0.193,62.5
0.156,62.5
0.192,62.5
0.156,62.5
0.192,62.5
0.116,31.25
0.09,31.25
0.115,31.25
0.089,31.25
0.114,31.25
0.089,31.25
0.044,15.625
0.048,15.625
0.046,15.625
0.048,15.625
0.047,15.625
0.046,15.625
0.041,7.8125
0.027,7.8125
0.04,7.8125
0.029,7.8125
0.04,7.8125
0.029,7.8125
0.002,0
-0.002,0
0.001,0
-0.001,0
0.001,0
-0.001,0
