Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,CXCL9,22.5,22.5,0.001,8.13E-07,9.64E-07,0.8429800383
lm0041,CXCL9,22.5,22.5,0.001,,,
lm0090,CXCL9,22.33,22.4,0.103,8.63100049634976E-07,1.79E-06,0.4817063497
lm0090,CXCL9,22.48,22.4,0.103,,,
lm0044,CXCL9,22.88,22.78,0.148,6.821991184371E-07,8.52E-07,0.8004870967
lm0044,CXCL9,22.68,22.78,0.148,,,
lm0086,CXCL9,23.65,23.68,0.042,3.90545988654373E-07,1.87E-06,0.2091018847
lm0086,CXCL9,23.7,23.68,0.042,,,
lm0069,CXCL9,21.78,21.74,0.061,1.30713475062598E-06,1.43E-06,0.9161172929
lm0069,CXCL9,21.69,21.74,0.061,,,
lm0076,CXCL9,23.75,23.84,0.125,3.51731081930534E-07,1.14E-06,0.308737366
lm0076,CXCL9,23.93,23.84,0.125,,,
lm0063,CXCL9,22.24,22.28,0.06,9.30522699720292E-07,2.1E-06,0.4425840091
lm0063,CXCL9,22.32,22.28,0.06,,,
lm0095,CXCL9,24.19,24.38,0.275,2.5175972020332E-07,1.0877852E-06,0.2314424945
lm0095,CXCL9,24.57,24.38,0.275,,,
lm0026,CXCL9,23.9,24.03,0.187,3.12395555199929E-07,9.08E-07,0.3440568198
lm0026,CXCL9,24.17,24.03,0.187,,,
lm0055,CXCL9,20.85,20.89,0.059,2.21156179091413E-06,1.51E-06,1.4661813106
lm0055,CXCL9,20.93,20.89,0.059,,,
lm0081,CXCL9,21.39,21.5,0.155,1.51126256794578E-06,2.05E-06,0.7359947956
lm0081,CXCL9,21.61,21.5,0.155,,,
lm0067,CXCL9,23.4,23.39,0.004,4.6515289865286E-07,5.74E-07,0.8104838912
lm0067,CXCL9,23.39,23.39,0.004,,,
lm0024,CXCL9,22.1,22.15,0.063,1.01141091651091E-06,1.0411905E-06,0.9713985255
lm0024,CXCL9,22.19,22.15,0.063,,,
lm0077,CXCL9,22.77,22.83,0.088,6.6058156470343E-07,4.77E-07,1.3854086283
lm0077,CXCL9,22.89,22.83,0.088,,,
lm0085,CXCL9,24.39,24.47,0.108,2.38517267755013E-07,3.4192491E-07,0.6975720715
lm0085,CXCL9,24.54,24.47,0.108,,,
lm0083,CXCL9,20.53,20.58,0.07,2.68907989927994E-06,7.2E-07,3.7363740845
lm0083,CXCL9,20.63,20.58,0.07,,,
lm0061,CXCL9,22.74,22.82,0.107,6.66E-07,1.1255004E-06,0.5917125758
lm0061,CXCL9,22.89,22.82,0.107,,,
lm0088,CXCL9,22.4,22.61,0.29,7.60683444711995E-07,9.53E-07,0.7983908456
lm0088,CXCL9,22.81,22.61,0.29,,,
lm0094,CXCL9,22.25,22.25,0.003,9.4805613165251E-07,1.8883491E-06,0.5020555424
lm0094,CXCL9,22.25,22.25,0.003,,,
lm0046,CXCL9,22.64,22.61,0.04,7.58568428324626E-07,5.94E-07,1.2775257603
lm0046,CXCL9,22.58,22.61,0.04,,,
lm0092,CXCL9,22.5,22.57,0.11,7.75778149910433E-07,1.46E-06,0.5308249812
lm0092,CXCL9,22.65,22.57,0.11,,,
lm0047,CXCL9,23.8,23.76,0.054,3.7019302719234E-07,7.1867463E-07,0.5151051835
lm0047,CXCL9,23.72,23.76,0.054,,,
lm0084,CXCL9,23.54,23.56,0.036,4.19E-07,9.5E-07,0.4410286253
lm0084,CXCL9,23.59,23.56,0.036,,,
lm0043,CXCL9,22.83,22.8,0.043,6.72338090989328E-07,1.22E-06,0.5497029834
lm0043,CXCL9,22.77,22.8,0.043,,,
lm0029,CXCL9,22.79,22.92,0.193,6.23503937473668E-07,1.31E-06,0.4756051837
lm0029,CXCL9,23.06,22.92,0.193,,,
lm0052,CXCL9,22.72,22.69,0.035,7.2117598110279E-07,1.0262946E-06,0.7026987973
lm0052,CXCL9,22.67,22.69,0.035,,,
lm0075,CXCL9,19.88,19.77,0.143,4.44106607062241E-06,9.39E-07,4.7311006613
lm0075,CXCL9,19.67,19.77,0.143,,,
lm0064,CXCL9,22.74,22.47,0.383,8.27797758069928E-07,6.35E-07,1.3033781409
lm0064,CXCL9,22.2,22.47,0.383,,,
lm0082,CXCL9,21.6,21.5,0.146,1.51736967066102E-06,1.49E-06,1.0186298535
lm0082,CXCL9,21.39,21.5,0.146,,,
lm0068,CXCL9,19.89,19.9,0.002,4.11836331214592E-06,2.2504935E-06,1.8299823182
lm0068,CXCL9,19.9,19.9,0.002,,,
lm0093,CXCL9,20.2,20.2,0.002,3.39605166613778E-06,1.35E-06,2.5155869322
lm0093,CXCL9,20.21,20.2,0.002,,,
lm0079,CXCL9,21.28,21.17,0.145,1.85787877358713E-06,1.36E-06,1.3709288292
lm0079,CXCL9,21.07,21.17,0.145,,,
lm0051,CXCL9,24.29,24.27,0.03,2.69076168640649E-07,1.4226183E-06,0.1891415066
lm0051,CXCL9,24.25,24.27,0.03,,,
lm0059,CXCL9,21.94,21.86,0.106,1.2075973765093E-06,1.56E-06,0.7757378882
lm0059,CXCL9,21.79,21.86,0.106,,,
lm0042,CXCL9,23.62,23.65,0.048,3.95782982845965E-07,1.04E-06,0.3800043656
lm0042,CXCL9,23.69,23.65,0.048,,,
lm0065,CXCL9,23.46,23.48,0.034,4.39829755891429E-07,1.03E-06,0.4259015816
lm0065,CXCL9,23.51,23.48,0.034,,,
lm0080,CXCL9,24.12,24.27,0.215,2.69749834025781E-07,1.4403699E-06,0.1872781665
lm0080,CXCL9,24.42,24.27,0.215,,,
lm0028,CXCL9,25.67,25.79,0.173,1.04250358116582E-07,1.14E-06,0.0913848114
lm0028,CXCL9,25.92,25.79,0.173,,,
lm0033,CXCL9,23.21,23.16,0.071,5.37371501259685E-07,4.6E-07,1.1685934431
lm0033,CXCL9,23.11,23.16,0.071,,,
lm0045,CXCL9,23.52,23.64,0.172,4E-07,9.5E-07,0.4212749975
lm0045,CXCL9,23.76,23.64,0.172,,,
lm0023,CXCL9,25.14,25.09,0.071,1.62E-07,5.68E-07,0.2853903082
lm0023,CXCL9,25.04,25.09,0.071,,,
lm0089,CXCL9,25.77,25.74,0.042,1.07782605230231E-07,5.73E-07,0.1880434987
lm0089,CXCL9,25.71,25.74,0.042,,,
lm0035,CXCL9,25.81,25.98,0.237,9.27644023466789E-08,7.29E-07,0.127170752
lm0035,CXCL9,26.15,25.98,0.237,,,
lm0030,CXCL9,24.72,24.63,0.126,2.15782780369854E-07,1.14E-06,0.1887591684
lm0030,CXCL9,24.54,24.63,0.126,,,
lm0056,CXCL9,24.68,24.52,0.236,2.3128523591476E-07,8.29E-07,0.2789825641
lm0056,CXCL9,24.35,24.52,0.236,,,
lm0091,CXCL9,25.31,25.47,0.224,1.27812546854986E-07,6.25E-07,0.2045893512
lm0091,CXCL9,25.63,25.47,0.224,,,
lm0073,CXCL9,24.58,24.63,0.073,2.15262429906811E-07,6.51E-07,0.3307346033
lm0073,CXCL9,24.68,24.63,0.073,,,
lm0066,CXCL9,24.58,24.63,0.073,2.15262429906811E-07,1.39E-06,0.154887923
lm0066,CXCL9,24.68,24.63,0.073,,,
lm0032,CXCL9,24.67,24.74,0.1,2.01105161168686E-07,6.3E-07,0.3192725022
lm0032,CXCL9,24.81,24.74,0.1,,,
lm0031,CXCL9,25.37,25.41,0.055,1.32258460568956E-07,8.69E-07,0.1521186677
lm0031,CXCL9,25.45,25.41,0.055,,,
lm0025,CXCL9,24.79,24.64,0.202,2.1352939435337E-07,1.55E-06,0.1376063898
lm0025,CXCL9,24.5,24.64,0.202,,,
lm0049,CXCL9,25.74,25.62,0.166,1.161751055121E-07,9.49E-07,0.1223608284
lm0049,CXCL9,25.5,25.62,0.166,,,
lm0048,CXCL9,24.11,24.14,0.051,2.91524402724325E-07,9.92E-07,0.2939692391
lm0048,CXCL9,24.18,24.14,0.051,,,
lm0078,CXCL9,26.5,26.44,0.073,6.95399315020498E-08,1.04E-06,0.0668087433
lm0078,CXCL9,26.39,26.44,0.073,,,
lm0072,CXCL9,25.51,25.48,0.032,1.26571896455165E-07,1.42E-06,0.0888791102
lm0072,CXCL9,25.46,25.48,0.032,,,
lm0071,CXCL9,26.37,26.33,0.057,7.48778865430062E-08,1.14E-06,0.0656473274
lm0071,CXCL9,26.28,26.33,0.057,,,
lm0027,CXCL9,24.36,24.32,0.051,2.60625788093372E-07,1.65E-06,0.1582119113
lm0027,CXCL9,24.29,24.32,0.051,,,
