Mouse_ID,Eimeria _Strain,Inocula ,Mouse_Strain,3DPI_count,4DPI_count,5DPI_count,6DPI_count,7DPI_count,8DPI_count,9DPI_count,10DPI_count,11DPI_count
LM0036,E70,200,NMRI,0,0,18750,41667,8333,166666,525000,NA,NA
LM0038,E70,200,NMRI,0,0,21800,33333,10000,62500,0,NA,NA
LM0060,E70,200,NMRI,0,0,15000,33333,16666,75000,300000,NA,NA
LM0034,E70,200,NMRI,0,0,15000,41667,20000,83333,60000,33333,0
LM0087,E70,200,NMRI,0,0,10000,50000,8333,125000,60000,20000,0
LM0058,E70,200,NMRI,0,0,17500,41667,13333,100000,150000,13333,0
LM0056,E64,200,NMRI,0,2500,32800,50000,4166,8000,2500,NA,NA
LM0035,E64,200,NMRI,0,2500,28850,43333,4166,0,0,NA,NA
LM0066,E64,200,NMRI,0,2500,33333,88333,6666,2100,0,NA,NA
LM0072,E64,200,NMRI,0,1000,41666,75000,12500,5455,2500,0,0
LM0078,E64,200,NMRI,0,2000,51666,66666,4166,0,0,0,0
LM0071,E64,200,NMRI,0,2000,50000,83333,10000,0,0,0,0
LM0028,EFW,200,NMRI,0,0,0,0,0,50000,40000,NA,NA
LM0030,EFW,200,NMRI,0,0,0,0,0,33333,60000,NA,NA
LM0045,EFW,200,NMRI,0,0,0,0,0,83333,425000,NA,NA
LM0054,EFW,200,NMRI,0,0,0,0,0,83333,200000,NA,NA
LM0027,EFW,200,NMRI,0,0,0,0,0,100000,100000,40000,15000
LM0048,EFW,200,NMRI,0,0,0,0,0,83333,40000,40000,50000
LM0033,EF,200,NMRI,0,0,0,0,4166,83333,155000,NA,NA
LM0073,EF,200,NMRI,0,0,0,0,4166,200000,175000,NA,NA
LM0080,EF,200,NMRI,0,0,0,0,2500,220666,95000,NA,NA
LM0021,EF,200,NMRI,0,0,0,0,8333,50000,100000,30000,NA
LM0031,EF,200,NMRI,0,0,0,0,8333,33333,37000,20000,13000
LM0025,EF,200,NMRI,0,0,0,0,6666,216666,40000,40000,13000
