;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;STAT6;Std-01;;82;190,93515986129;76;86,5;
;A02;SYBR;STAT6;Std-02;;82,5;251,267733095494;76,5;86;
;A03;SYBR;STAT6;Std-03;;83;171,216022760352;78;87;
;A04;SYBR;STAT6;Std-04;;83;198,431066472083;78,5;86,5;
;A05;SYBR;STAT6;Std-05;;None;None;None;None;
;A06;SYBR;STAT6;Std-06;;None;None;None;None;
;A07;SYBR;IL-12;Std-07;;80;270,964334484778;75;87;
;A08;SYBR;IL-12;Std-08;;80,5;225,354826194264;66,5;84;
;A09;SYBR;IL-12;Std-09;;None;None;None;None;
;A10;SYBR;IL-12;Std-10;;None;None;None;None;
;A11;SYBR;IL-12;Std-11;;None;None;None;None;
;A12;SYBR;IL-12;Std-12;;None;None;None;None;
;B01;SYBR;STAT6;Std-01;;80;136,195391274369;76;83,5;
;B02;SYBR;STAT6;Std-02;;82;250,118340278579;73;85,5;
;B03;SYBR;STAT6;Std-03;;82,5;192,643478654904;78,5;86;
;B04;SYBR;STAT6;Std-04;;None;None;None;None;
;B05;SYBR;STAT6;Std-05;;None;None;None;None;
;B06;SYBR;STAT6;Std-06;;None;None;None;None;
;B07;SYBR;IL-12;Std-07;;80;312,100039106104;71,5;88;
;B08;SYBR;IL-12;Std-08;;80;295,693963317883;73;84,5;
;B09;SYBR;IL-12;Std-09;;80,5;186,354595107468;76;84;
;B10;SYBR;IL-12;Std-10;;None;None;None;None;
;B11;SYBR;IL-12;Std-11;;None;None;None;None;
;B12;SYBR;IL-12;Std-12;;None;None;None;None;
;C01;SYBR;STAT6;Std-01;;None;None;None;None;
;C02;SYBR;STAT6;Std-02;;None;None;None;None;
;C03;SYBR;STAT6;Std-03;;82,5;148,793703226649;79;88,5;
;C04;SYBR;STAT6;Std-04;;None;None;None;None;
;C05;SYBR;STAT6;Std-05;;None;None;None;None;
;C06;SYBR;STAT6;Std-06;;None;None;None;None;
;C07;SYBR;IL-12;Std-07;;80;300,522646567008;74,5;84,5;
;C08;SYBR;IL-12;Std-08;;80,5;157,699084086008;76,5;84;
;C09;SYBR;IL-12;Std-09;;None;None;None;None;
;C10;SYBR;IL-12;Std-10;;None;None;None;None;
;C11;SYBR;IL-12;Std-11;;None;None;None;None;
;C12;SYBR;IL-12;Std-12;;None;None;None;None;
;D01;SYBR;STAT6;NTC;;None;None;None;None;
;D02;SYBR;STAT6;NTC;;None;None;None;None;
;D03;SYBR;STAT6;NTC;;None;None;None;None;
;D04;SYBR;STAT6;NTC;;None;None;None;None;
;D05;SYBR;STAT6;NTC;;None;None;None;None;
;D06;SYBR;STAT6;NTC;;None;None;None;None;
;D07;SYBR;IL-12;NTC;;None;None;None;None;
;D08;SYBR;IL-12;NTC;;None;None;None;None;
;D09;SYBR;IL-12;NTC;;None;None;None;None;
;D10;SYBR;IL-12;NTC;;None;None;None;None;
;D11;SYBR;IL-12;NTC;;None;None;None;None;
;D12;SYBR;IL-12;NTC;;None;None;None;None;
;E01;SYBR;TGF-b;Std-13;;82;369,631354387511;78;88;
;E02;SYBR;TGF-b;Std-14;;82;338,660631762217;78;89,5;
;E03;SYBR;TGF-b;Std-15;;82,5;277,696482743791;78;86;
;E04;SYBR;TGF-b;Std-16;;None;None;None;None;
;E05;SYBR;TGF-b;Std-17;;None;None;None;None;
;E06;SYBR;TGF-b;Std-18;;None;None;None;None;
;E07;SYBR;IL-10;Std-19;;80;311,089934987345;75,5;83;
;E08;SYBR;IL-10;Std-20;;None;None;None;None;
;E09;SYBR;IL-10;Std-21;;80,5;249,621093999629;75,5;83,5;
;E10;SYBR;IL-10;Std-22;;None;None;None;None;
;E11;SYBR;IL-10;Std-23;;None;None;None;None;
;E12;SYBR;IL-10;Std-24;;None;None;None;None;
;F01;SYBR;TGF-b;Std-13;;81,5;351,492618988784;77,5;85;
;F02;SYBR;TGF-b;Std-14;;82;344,980320828915;77,5;85,5;
;F03;SYBR;TGF-b;Std-15;;82,5;299,339742988306;78,5;87;
;F04;SYBR;TGF-b;Std-16;;None;None;None;None;
;F05;SYBR;TGF-b;Std-17;;None;None;None;None;
;F06;SYBR;TGF-b;Std-18;;None;None;None;None;
;F07;SYBR;IL-10;Std-19;;80;363,258290923085;75;86,5;
;F08;SYBR;IL-10;Std-20;;80,5;370,81371098182;75,5;84;
;F09;SYBR;IL-10;Std-21;;None;None;None;None;
;F10;SYBR;IL-10;Std-22;;None;None;None;None;
;F11;SYBR;IL-10;Std-23;;None;None;None;None;
;F12;SYBR;IL-10;Std-24;;None;None;None;None;
;G01;SYBR;TGF-b;Std-13;;81,5;390,123693281364;77;87;
;G02;SYBR;TGF-b;Std-14;;82;395,098585829261;77,5;85,5;
;G03;SYBR;TGF-b;Std-15;;82,5;285,194645396297;79;86;
;G04;SYBR;TGF-b;Std-16;;None;None;None;None;
;G05;SYBR;TGF-b;Std-17;;None;None;None;None;
;G06;SYBR;TGF-b;Std-18;;75,5;140,907119306518;61,5;79,5;
;G07;SYBR;IL-10;Std-19;;79,5;256,960781481083;75;83;
;G08;SYBR;IL-10;Std-20;;80;348,691684537647;75,5;83,5;
;G09;SYBR;IL-10;Std-21;;None;None;None;None;
;G10;SYBR;IL-10;Std-22;;74;167,855375400248;62,5;79,5;
;G11;SYBR;IL-10;Std-23;;None;None;None;None;
;G12;SYBR;IL-10;Std-24;;None;None;None;None;
;H01;SYBR;TGF-b;NTC;;None;None;None;None;
;H02;SYBR;TGF-b;NTC;;None;None;None;None;
;H03;SYBR;TGF-b;NTC;;None;None;None;None;
;H04;SYBR;TGF-b;NTC;;None;None;None;None;
;H05;SYBR;TGF-b;NTC;;None;None;None;None;
;H06;SYBR;TGF-b;NTC;;None;None;None;None;
;H07;SYBR;IL-10;NTC;;None;None;None;None;
;H08;SYBR;IL-10;NTC;;None;None;None;None;
;H09;SYBR;IL-10;NTC;;None;None;None;None;
;H10;SYBR;IL-10;NTC;;None;None;None;None;
;H11;SYBR;IL-10;NTC;;None;None;None;None;
;H12;SYBR;IL-10;NTC;;None;None;None;None;
