;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
A;Sample;;;;;;;;;;;;
A;Peak 1;82;82,5;83;83;None;None;80;80,5;None;None;None;None
A;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
B;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
B;Sample;;;;;;;;;;;;
B;Peak 1;80;82;82,5;None;None;None;80;80;80,5;None;None;None
B;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
C;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
C;Sample;;;;;;;;;;;;
C;Peak 1;None;None;82,5;None;None;None;80;80,5;None;None;None;None
C;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
D;Content;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC
D;Sample;;;;;;;;;;;;
D;Peak 1;None;None;None;None;None;None;None;None;None;None;None;None
D;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
E;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
E;Sample;;;;;;;;;;;;
E;Peak 1;82;82;82,5;None;None;None;80;None;80,5;None;None;None
E;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
F;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
F;Sample;;;;;;;;;;;;
F;Peak 1;81,5;82;82,5;None;None;None;80;80,5;None;None;None;None
F;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
G;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
G;Sample;;;;;;;;;;;;
G;Peak 1;81,5;82;82,5;None;None;75,5;79,5;80;None;74;None;None
G;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
H;Content;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC
H;Sample;;;;;;;;;;;;
H;Peak 1;None;None;None;None;None;None;None;None;None;None;None;None
H;Peak 2;None;None;None;None;None;None;None;None;None;None;None;None
